"Company Name","Ticker Symbol","Animal Testing","Nuclear Weapons","Coal Power","Rainforest Destruction"
"Alively","ALIV",TRUE,FALSE,FALSE,FALSE
"All Apps","ALLA",FALSE,FALSE,FALSE,FALSE
"All Fours Collection Agency","ALLF",FALSE,FALSE,FALSE,FALSE
"All in the Family Planning","ALLI",FALSE,FALSE,TRUE,TRUE
"All Join Hands","ALLJ",FALSE,FALSE,FALSE,TRUE
"All Trends","ALLT",FALSE,FALSE,FALSE,FALSE
"All Welcome","ALLW",FALSE,FALSE,TRUE,FALSE
"Alloys R Us","ALLO",FALSE,FALSE,FALSE,TRUE
"AllXOR","ALLX",FALSE,FALSE,FALSE,FALSE
"AllYear","ALLY",FALSE,FALSE,FALSE,FALSE
"Aloud, LTD","ALOU",FALSE,FALSE,TRUE,FALSE
"Alpha Moyle","ALPH",FALSE,FALSE,TRUE,FALSE
"AlternaSport","ALTE",FALSE,FALSE,FALSE,FALSE
"Altraeon","ALTR",FALSE,FALSE,FALSE,TRUE
"AluMAX","ALUM",FALSE,FALSE,FALSE,TRUE
"Amal Cellular","AMAL",FALSE,FALSE,FALSE,TRUE
"AMERICAHOMEFINDER.COM","AMER",FALSE,FALSE,FALSE,TRUE
"AMNU.com","AMNU",FALSE,FALSE,FALSE,FALSE
"Amphiby Inn","AMPH",FALSE,FALSE,FALSE,FALSE
"Ampitup!","AMPI",FALSE,FALSE,FALSE,FALSE
"Ample Amour","AMPL",FALSE,FALSE,FALSE,TRUE
"Amptech","AMPT",FALSE,FALSE,FALSE,FALSE
"Amril","AMRI",TRUE,FALSE,TRUE,FALSE
"Amtap","AMTA",FALSE,FALSE,TRUE,FALSE
"AMYCE – Adult Mentoring for Youth Careers and Education","AMYC",FALSE,FALSE,FALSE,FALSE
"Amygdala Pond","AMYG",TRUE,FALSE,FALSE,TRUE
"Anacho","ANAC",FALSE,FALSE,FALSE,TRUE
"Anarco","ANAR",FALSE,FALSE,FALSE,TRUE
"Anavenetro","ANAV",TRUE,FALSE,FALSE,FALSE
"Ancestor Dreamtime","ANCE",FALSE,FALSE,TRUE,FALSE
"Andershun","ANDE",FALSE,FALSE,FALSE,FALSE
"ANDNEW.COM","ANDN",FALSE,FALSE,TRUE,FALSE
"Andryx","ANDR",FALSE,FALSE,FALSE,FALSE
"Andy Brand","ANDY",FALSE,FALSE,FALSE,FALSE
"Animal Barberia","ANIM",FALSE,FALSE,FALSE,FALSE
"Anivet","ANIV",FALSE,FALSE,TRUE,FALSE
"Anixang","ANIX",FALSE,FALSE,FALSE,FALSE
"Ann and Rex’s Dance Studio","ANNA",FALSE,FALSE,FALSE,FALSE
"Ann n Rex’s","ANNN",FALSE,FALSE,TRUE,TRUE
"anneXOR","ANNE",FALSE,FALSE,FALSE,FALSE
"ANNXOR","ANNX",FALSE,FALSE,FALSE,FALSE
"Anocha","ANOC",FALSE,FALSE,TRUE,TRUE
"Antiki’s","ANTI",FALSE,FALSE,FALSE,TRUE
"Apex","APEX",FALSE,FALSE,FALSE,TRUE
"Apparel Barrel","APPA",FALSE,FALSE,FALSE,TRUE
"Appear to Appear","APPE",FALSE,FALSE,TRUE,FALSE
"Apple Cheeks","APPL",FALSE,FALSE,FALSE,TRUE
"Appy Planet","APPY",FALSE,FALSE,FALSE,TRUE
"AptDept.com","APTD",FALSE,FALSE,FALSE,TRUE
"Aqua Radiant","AQUA",FALSE,FALSE,FALSE,FALSE
"Aquoavo","AQUO",FALSE,FALSE,TRUE,FALSE
"Archers Away","ARCH",FALSE,FALSE,FALSE,TRUE
"Arctiq","ARCT",TRUE,FALSE,FALSE,FALSE
"Area Tech","AREA",FALSE,TRUE,TRUE,TRUE
"ARGOSY.COM","ARGO",FALSE,FALSE,FALSE,FALSE
"Arketmay.com","ARKE",FALSE,FALSE,FALSE,FALSE
"Armchair Engineering","ARMC",FALSE,FALSE,FALSE,FALSE
"Aroma Borealis","AROM",FALSE,FALSE,FALSE,FALSE
"Art of Facts","ARTO",FALSE,FALSE,FALSE,FALSE
"Art Sphere","ARTS",FALSE,FALSE,FALSE,FALSE
"Arthur Andershun","ARTH",FALSE,FALSE,FALSE,TRUE
"Artificial Logic","ARTI",FALSE,FALSE,FALSE,FALSE
"ARTV – Artistic Recreational Television","ARTV",FALSE,FALSE,TRUE,TRUE
"Artworlds","ARTW",FALSE,FALSE,FALSE,FALSE
"Ascelpius Design","ASCE",FALSE,FALSE,FALSE,FALSE
"Asimiline","ASIM",FALSE,FALSE,TRUE,TRUE
"Ask Jesus","ASKJ",FALSE,FALSE,FALSE,FALSE
"AspectDev.com","ASPE",FALSE,FALSE,TRUE,TRUE
"Ass Texas","ASST",FALSE,FALSE,TRUE,TRUE
"Assist Inc.","ASSI",FALSE,FALSE,FALSE,FALSE
"Assurity","ASSU",FALSE,FALSE,FALSE,FALSE
"AstroCoffee","ASTR",FALSE,FALSE,FALSE,TRUE
"Atgen","ATGE",TRUE,FALSE,TRUE,TRUE
"Atlas Marine Recyling","ATLA",FALSE,FALSE,FALSE,FALSE
"ATMBOT.com","ATMB",TRUE,FALSE,FALSE,FALSE
"ATMCam.com","ATMC",FALSE,FALSE,FALSE,FALSE
"Atomic Coffee","ATOM",FALSE,FALSE,FALSE,FALSE
"AtYourCo","ATYO",FALSE,FALSE,FALSE,FALSE
"Auction Heroes","AUCT",FALSE,FALSE,FALSE,TRUE
"Audio Farm","AUDI",FALSE,FALSE,TRUE,FALSE
"Aurora Boring Alice Productions","AURO",FALSE,FALSE,FALSE,TRUE
"Austech","AUST",FALSE,FALSE,FALSE,TRUE
"Autoconsole","AUTO",FALSE,FALSE,TRUE,TRUE
"Avalanche Design","AVAL",FALSE,FALSE,FALSE,FALSE
"Avenetro","AVEN",FALSE,FALSE,FALSE,FALSE
"Avit","AVIT",FALSE,FALSE,FALSE,FALSE
"Awaywegolf","AWAY",FALSE,FALSE,FALSE,FALSE
"Azo Matrix","AZOM",FALSE,FALSE,FALSE,FALSE
"AzoFlux","AZOF",FALSE,FALSE,FALSE,FALSE
"AZZU.com","AZZU",FALSE,FALSE,FALSE,FALSE
"Babel Builders","BABE",FALSE,FALSE,FALSE,TRUE
"Baby Bloomers","BABY",FALSE,FALSE,FALSE,TRUE
"Back Attack Chiropractors","BACK",FALSE,FALSE,FALSE,FALSE
"BaconGrease.com","BACO",FALSE,FALSE,FALSE,FALSE
"Bagel Train","BAGE",FALSE,FALSE,FALSE,TRUE
"Bait’n Chase","BAIT",TRUE,FALSE,FALSE,FALSE
"Balancing Action","BALA",FALSE,FALSE,FALSE,TRUE
"Ball Lightning","BALL",TRUE,FALSE,FALSE,FALSE
"Balmy’s Tranquil Tank","BALM",FALSE,FALSE,FALSE,FALSE
"Balooba","BALO",FALSE,FALSE,FALSE,TRUE
"Baluba","BALU",FALSE,FALSE,FALSE,FALSE
"Bamboo Gnu","BAMB",FALSE,FALSE,FALSE,FALSE
"Bang’aBone","BANG",FALSE,FALSE,FALSE,TRUE
"BANKOBJECT.COM","BANK",FALSE,FALSE,FALSE,FALSE
"Bar Flyz","BARF",FALSE,FALSE,FALSE,TRUE
"Barclub.com","BARC",FALSE,FALSE,FALSE,FALSE
"Barkarama","BARK",FALSE,FALSE,FALSE,FALSE
"Barrell Of Monkeys Bookkeeping Services","BARR",FALSE,FALSE,FALSE,FALSE
"BarTelevision","BART",FALSE,FALSE,FALSE,FALSE
"Base Camp Protective Gear","BASE",TRUE,FALSE,TRUE,FALSE
"BassLines","BASS",TRUE,FALSE,FALSE,FALSE
"BCNOW (Business Commerce Now)","BCNO",FALSE,FALSE,FALSE,TRUE
"Bead2Bead.com","BEAD",FALSE,FALSE,FALSE,FALSE
"Bean Counters Accounting","BEAN",TRUE,FALSE,FALSE,FALSE
"BearJuJu.com","BEAR",FALSE,FALSE,FALSE,TRUE
"Beat On The Path","BEAT",FALSE,FALSE,TRUE,TRUE
"Beauty Bargains","BEAU",FALSE,FALSE,FALSE,TRUE
"Because It’s There Protectivewear","BECA",FALSE,FALSE,FALSE,TRUE
"Bedder","BEDD",FALSE,FALSE,FALSE,FALSE
"Bedlam","BEDL",FALSE,FALSE,FALSE,TRUE
"Bee Salt","BEES",FALSE,FALSE,FALSE,TRUE
"BEEFUP.COM","BEEF",FALSE,FALSE,FALSE,FALSE
"Beeptel.com","BEEP",FALSE,FALSE,FALSE,FALSE
"BeerHead.com","BEER",FALSE,FALSE,FALSE,FALSE
"Beet Poetry","BEET",FALSE,FALSE,FALSE,TRUE
"Before Breakfast","BEFO",FALSE,FALSE,FALSE,TRUE
"Beige and Briney","BEIG",FALSE,FALSE,TRUE,FALSE
"Bella Outdoors","BELL",FALSE,FALSE,FALSE,TRUE
"Benephisto","BENE",FALSE,FALSE,FALSE,TRUE
"BENIFITOFTHEDOUBT.COM","BENI",FALSE,FALSE,FALSE,TRUE
"Bennie’s Fishery","BENN",FALSE,FALSE,FALSE,FALSE
"Bent Steel and Smelter","BENT",FALSE,FALSE,FALSE,TRUE
"BerkeleyShops.com","BERK",FALSE,FALSE,FALSE,FALSE
"Best Friends Grooming Service","BEST",FALSE,FALSE,FALSE,FALSE
"Better Fish","BETT",FALSE,FALSE,FALSE,FALSE
"Beyond Bedding","BEYO",FALSE,FALSE,FALSE,FALSE
"Bezal","BEZA",FALSE,FALSE,FALSE,FALSE
"Bicol","BICO",FALSE,FALSE,TRUE,FALSE
"BiffPaste.com","BIFF",FALSE,FALSE,TRUE,TRUE
"Biflex","BIFL",FALSE,FALSE,FALSE,FALSE
"Big Apple Advertising…The Core to Success","BIGA",FALSE,FALSE,FALSE,FALSE
"Big Bottom Beefworks","BIGB",TRUE,FALSE,TRUE,TRUE
"BigChief","BIGC",FALSE,FALSE,FALSE,TRUE
"Bigflo.com","BIGF",FALSE,FALSE,FALSE,TRUE
"BigKolor","BIGK",FALSE,FALSE,FALSE,FALSE
"BigRaveScreenSave","BIGR",FALSE,FALSE,FALSE,FALSE
"BigSkool","BIGS",FALSE,FALSE,TRUE,FALSE
"BigTent","BIGT",FALSE,FALSE,FALSE,FALSE
"BigWay","BIGW",FALSE,FALSE,TRUE,FALSE
"Bike Along","BIKE",FALSE,FALSE,FALSE,FALSE
"Billmed","BILL",FALSE,FALSE,FALSE,TRUE
"Biohab","BIOH",FALSE,FALSE,FALSE,TRUE
"Biolive","BIOL",FALSE,FALSE,TRUE,TRUE
"Biomatic Furniture","BIOM",FALSE,FALSE,FALSE,TRUE
"Bionic Coffee Distributors","BION",FALSE,FALSE,FALSE,FALSE
"Biospan","BIOS",FALSE,FALSE,TRUE,FALSE
"Biotica","BIOT",FALSE,FALSE,FALSE,FALSE
"Bird Casting","BIRD",FALSE,FALSE,TRUE,TRUE
"Bisba","BISB",FALSE,FALSE,FALSE,FALSE
"Bitches Brew Kennel","BITC",TRUE,FALSE,FALSE,FALSE
"Bite Size Advertising","BITE",FALSE,FALSE,TRUE,TRUE
"Bitrex","BITR",TRUE,FALSE,FALSE,FALSE
"Bittor","BITT",FALSE,FALSE,FALSE,FALSE
"Bivouac and Buttress","BIVO",FALSE,FALSE,TRUE,TRUE
"BizCentric","BIZC",FALSE,FALSE,FALSE,FALSE
"BizLogix","BIZL",FALSE,FALSE,FALSE,FALSE
"Bizmatic","BIZM",FALSE,FALSE,FALSE,FALSE
"BizSweeper","BIZS",FALSE,FALSE,FALSE,FALSE
"BizTech","BIZT",FALSE,FALSE,FALSE,FALSE
"Black Hat Dusters","BLAC",FALSE,FALSE,TRUE,FALSE
"Blanet","BLAN",FALSE,FALSE,FALSE,TRUE
"BlastOff SAT Prep","BLAS",FALSE,FALSE,TRUE,TRUE
"Bleeko","BLEE",TRUE,FALSE,FALSE,FALSE
"BlindFire.com","BLIN",FALSE,FALSE,FALSE,FALSE
"BLIP.COM","BLIP",TRUE,FALSE,FALSE,TRUE
"Blister Burger","BLIS",FALSE,FALSE,TRUE,FALSE
"Blizzard Relations","BLIZ",FALSE,FALSE,FALSE,TRUE
"Bloodynose Theater","BLOO",FALSE,FALSE,FALSE,TRUE
"Blue Horizon","BLUE",FALSE,FALSE,FALSE,TRUE
"Bluplanet","BLUP",FALSE,FALSE,TRUE,FALSE
"Blurrybus","BLUR",FALSE,FALSE,TRUE,FALSE
"Boa Construction","BOAC",FALSE,FALSE,TRUE,FALSE
"Body Expressions","BODY",FALSE,FALSE,FALSE,FALSE
"Boilcat","BOIL",FALSE,FALSE,FALSE,FALSE
"Boink","BOIN",TRUE,FALSE,FALSE,TRUE
"Bolax","BOLA",FALSE,FALSE,TRUE,FALSE
"Bolinas Oil","BOLI",FALSE,FALSE,FALSE,TRUE
"BOOGIEFLEX.COM","BOOG",TRUE,FALSE,TRUE,FALSE
"Book Bound","BOOK",FALSE,FALSE,FALSE,FALSE
"BoomerGrlz Yoga","BOOM",FALSE,FALSE,FALSE,FALSE
"Borderlands Coffee","BORD",FALSE,FALSE,FALSE,FALSE
"BoredChairman.com","BORE",TRUE,FALSE,TRUE,FALSE
"Bostonic","BOST",FALSE,FALSE,FALSE,FALSE
"Botea Bliss","BOTE",FALSE,FALSE,TRUE,TRUE
"Bountiful Organics","BOUN",FALSE,FALSE,TRUE,TRUE
"Bouquet of Beauty","BOUQ",FALSE,FALSE,FALSE,TRUE
"Bovine Acres","BOVI",FALSE,FALSE,FALSE,FALSE
"Brain Brand","BRAI",FALSE,FALSE,FALSE,FALSE
"Bran Dandy","BRAN",FALSE,FALSE,FALSE,TRUE
"Brass Tactics","BRAS",FALSE,FALSE,TRUE,FALSE
"Brave Sheep Acres","BRAV",FALSE,FALSE,TRUE,FALSE
"Breathe Easy Backs","BREA",FALSE,FALSE,FALSE,TRUE
"Brewed Attitude","BREW",FALSE,FALSE,FALSE,TRUE
"Brigadier Marketing","BRIG",FALSE,FALSE,FALSE,TRUE
"Bring it!","BRIN",FALSE,FALSE,FALSE,FALSE
"Bristo","BRIS",FALSE,FALSE,FALSE,TRUE
"Broad and Cough Man","BROA",FALSE,FALSE,FALSE,TRUE
"Broncomania","BRON",FALSE,FALSE,FALSE,FALSE
"Brood Coffee","BROO",FALSE,FALSE,TRUE,FALSE
"Brothel Brothers","BROT",FALSE,FALSE,FALSE,FALSE
"Brunchilli","BRUN",FALSE,FALSE,FALSE,FALSE
"Brush n Flush","BRUS",FALSE,FALSE,TRUE,FALSE
"Brutish Airlines","BRUT",FALSE,FALSE,TRUE,FALSE
"Bubbleonia","BUBB",FALSE,FALSE,FALSE,TRUE
"Buddha Computha","BUDD",FALSE,FALSE,FALSE,FALSE
"Bug Eyes","BUGE",FALSE,FALSE,FALSE,FALSE
"Bug Magazine","BUGM",FALSE,FALSE,FALSE,FALSE
"BugSack","BUGS",FALSE,FALSE,FALSE,TRUE
"Building Blocks","BUIL",FALSE,FALSE,FALSE,FALSE
"Bull Runnings","BULL",FALSE,FALSE,TRUE,FALSE
"Bunga","BUNG",FALSE,FALSE,TRUE,FALSE
"Burl Whirl","BURL",FALSE,FALSE,FALSE,FALSE
"Burning Sand","BURN",FALSE,FALSE,FALSE,FALSE
"Burried Out Back Farm","BURR",FALSE,FALSE,FALSE,TRUE
"Business Card Shark","BUSI",FALSE,FALSE,FALSE,TRUE
"BusSing","BUSS",FALSE,FALSE,FALSE,TRUE
"Busta Movin’ Company","BUST",FALSE,FALSE,FALSE,TRUE
"Butter, Grace and Gamble","BUTT",FALSE,FALSE,FALSE,FALSE
"BUYRENTLEASE.COM","BUYR",FALSE,FALSE,FALSE,TRUE
"Buzz Farm","BUZZ",FALSE,FALSE,FALSE,FALSE
"Bygone Farm","BYGO",FALSE,FALSE,FALSE,FALSE
"Bytrex","BYTR",FALSE,FALSE,FALSE,FALSE
"Cabaña Keepers","CABA",FALSE,FALSE,FALSE,TRUE
"Cablam","CABL",FALSE,FALSE,TRUE,FALSE
"CabNow!","CABN",FALSE,FALSE,FALSE,FALSE
"Cabo Cabaña","CABO",FALSE,FALSE,FALSE,FALSE
"CactiCoffee","CACT",FALSE,FALSE,FALSE,TRUE
"Caffeine Cellular","CAFF",FALSE,FALSE,TRUE,FALSE
"Calcu","CALC",FALSE,FALSE,TRUE,TRUE
"CALIFORNIAEXPORTS.COM","CALI",FALSE,FALSE,TRUE,TRUE
"Call it Green","CALL",FALSE,FALSE,FALSE,TRUE
"CalmTouch.com","CALM",FALSE,FALSE,FALSE,TRUE
"Calray.com","CALR",FALSE,FALSE,FALSE,TRUE
"Camp Scratch’n Sniff","CAMP",FALSE,FALSE,FALSE,TRUE
"Can Do Coffee Distributors","CAND",FALSE,FALSE,FALSE,FALSE
"Canadafab Steel","CANA",FALSE,FALSE,FALSE,FALSE
"Canine Camp","CANI",FALSE,FALSE,TRUE,TRUE
"Canopoly","CANO",FALSE,FALSE,TRUE,TRUE
"CanvArt","CANV",FALSE,FALSE,FALSE,FALSE
"Cap Ten","CAPT",FALSE,FALSE,FALSE,FALSE
"Capitol Care","CAPI",FALSE,FALSE,FALSE,FALSE
"Capscreen","CAPS",FALSE,FALSE,FALSE,TRUE
"Caramel Knowledge","CARA",FALSE,FALSE,FALSE,FALSE
"Card Blanche","CARD",FALSE,FALSE,FALSE,FALSE
"Care Corp","CARE",FALSE,FALSE,FALSE,FALSE
"Carmel Knowledge","CARM",FALSE,FALSE,TRUE,TRUE
"Carnal Coffee","CARN",TRUE,FALSE,FALSE,FALSE
"Carolina Discount","CARO",FALSE,FALSE,FALSE,FALSE
"Cartomatrix","CART",FALSE,FALSE,TRUE,FALSE
"Cascadence","CASC",TRUE,FALSE,FALSE,TRUE
"CASHCLUBS.COM","CASH",TRUE,FALSE,FALSE,FALSE
"Casinoville, Inc.","CASI",FALSE,FALSE,FALSE,TRUE
"Castle Minders","CAST",FALSE,FALSE,TRUE,FALSE
"Catalina Coffee Distributors","CATA",FALSE,FALSE,FALSE,FALSE
"Catchatoona","CATC",FALSE,FALSE,FALSE,FALSE
"Category Five","CATE",FALSE,FALSE,TRUE,FALSE
"Cat’s Away","CATS",FALSE,FALSE,FALSE,FALSE
"Caxt","CAXT",FALSE,FALSE,FALSE,TRUE
"CC Leathers","CCLE",FALSE,FALSE,FALSE,TRUE
"Cedward","CEDW",FALSE,FALSE,FALSE,FALSE
"Celestial Waltz","CELE",FALSE,FALSE,FALSE,FALSE
"CellRay","CELL",FALSE,FALSE,FALSE,TRUE
"Cemention","CEME",FALSE,FALSE,FALSE,FALSE
"Censortium","CENS",FALSE,FALSE,FALSE,FALSE
"CentEd.com","CENT",TRUE,FALSE,FALSE,TRUE
"Ceprene","CEPR",FALSE,FALSE,FALSE,FALSE
"Certified Accounting Solutions","CERT",FALSE,FALSE,TRUE,FALSE
"Chalk and Stars","CHAL",FALSE,FALSE,FALSE,FALSE
"Champion Collections","CHAM",FALSE,FALSE,FALSE,FALSE
"Chancellor Limousine Services","CHAN",FALSE,FALSE,FALSE,FALSE
"Chap and Spur","CHAP",FALSE,FALSE,FALSE,TRUE
"Chariots of the Gods Limousine","CHAR",FALSE,FALSE,TRUE,TRUE
"Chaucer’s Farm","CHAU",FALSE,FALSE,FALSE,FALSE
"Cheap Beauty","CHEA",FALSE,FALSE,FALSE,TRUE
"Check the Turn Productions","CHEC",FALSE,FALSE,FALSE,FALSE
"CheekyGeeky","CHEE",FALSE,FALSE,FALSE,FALSE
"ChefsDaily.com","CHEF",FALSE,FALSE,FALSE,FALSE
"Cherry Asphalt","CHER",FALSE,FALSE,TRUE,FALSE
"Chez Kicks","CHEZ",FALSE,FALSE,TRUE,TRUE
"Chicago Windworks","CHIC",FALSE,FALSE,TRUE,FALSE
"Children of the Sun","CHIL",FALSE,FALSE,FALSE,TRUE
"ChinatownHouse.com","CHIN",FALSE,FALSE,TRUE,FALSE
"Chiro Mio","CHIR",FALSE,FALSE,FALSE,FALSE
"ChitterChatter","CHIT",FALSE,FALSE,FALSE,FALSE
"ChoiceMenus – dinner of choice is only a click away!","CHOI",FALSE,FALSE,FALSE,TRUE
"Chop Chop","CHOP",FALSE,FALSE,FALSE,TRUE
"Chorizon","CHOR",FALSE,FALSE,FALSE,TRUE
"Christian Cuisine","CHRI",FALSE,FALSE,FALSE,FALSE
"Chrononaut","CHRO",FALSE,FALSE,FALSE,TRUE
"Chute Crazy","CHUT",FALSE,FALSE,TRUE,FALSE
"Cinaster","CINA",FALSE,FALSE,FALSE,TRUE
"Cincyr","CINC",FALSE,FALSE,FALSE,FALSE
"Cinesanct","CINE",FALSE,FALSE,TRUE,FALSE
"Cipromox","CIPR",FALSE,FALSE,FALSE,TRUE
"Circomspect","CIRC",FALSE,FALSE,FALSE,FALSE
"Cirque Cystems","CIRQ",FALSE,FALSE,FALSE,TRUE
"City of Fish","CITY",FALSE,FALSE,FALSE,FALSE
"Class Wire","CLAS",FALSE,FALSE,TRUE,FALSE
"Clean Claws and Paws","CLEA",FALSE,FALSE,FALSE,FALSE
"Clem Clogs","CLEM",FALSE,FALSE,FALSE,FALSE
"Click Fix","CLIC",FALSE,FALSE,TRUE,FALSE
"ClientWorld.com","CLIE",FALSE,FALSE,FALSE,FALSE
"CliffJumpers.com","CLIF",FALSE,FALSE,FALSE,TRUE
"Clip and Snip Pet Center","CLIP",FALSE,FALSE,FALSE,FALSE
"Clones R Us","CLON",FALSE,FALSE,TRUE,FALSE
"ClopBat.com","CLOP",TRUE,FALSE,TRUE,TRUE
"Closet Palace","CLOS",TRUE,FALSE,FALSE,TRUE
"Cloud K9","CLOU",FALSE,FALSE,TRUE,FALSE
"Club Dog","CLUB",FALSE,FALSE,FALSE,TRUE
"Coash","COAS",FALSE,FALSE,FALSE,TRUE
"Cobalt Lightening","COBA",FALSE,FALSE,FALSE,FALSE
"Cock-A-Doodle-Doo","COCK",FALSE,FALSE,FALSE,TRUE
"Cocoa Clasp","COCO",FALSE,FALSE,TRUE,TRUE
"Codact","CODA",TRUE,FALSE,FALSE,FALSE
"Coffee 2U","COFF",FALSE,FALSE,FALSE,TRUE
"Cofine","COFI",FALSE,FALSE,FALSE,TRUE
"Cogentry","COGE",FALSE,FALSE,FALSE,TRUE
"Cognicode","COGN",FALSE,FALSE,FALSE,FALSE
"Coilcon.com","COIL",FALSE,FALSE,FALSE,TRUE
"Colaire","COLA",FALSE,FALSE,FALSE,FALSE
"Cold Comfort Metalworks","COLD",FALSE,FALSE,FALSE,FALSE
"Collaire","COLL",FALSE,FALSE,FALSE,TRUE
"Color Expressions","COLO",FALSE,FALSE,FALSE,TRUE
"Columella","COLU",FALSE,FALSE,FALSE,TRUE
"Comacozi Dental","COMA",FALSE,FALSE,TRUE,FALSE
"Combogen","COMB",FALSE,FALSE,TRUE,FALSE
"Comcentric","COMC",FALSE,FALSE,FALSE,TRUE
"Comdom","COMD",FALSE,FALSE,FALSE,FALSE
"Comfirm","COMF",FALSE,FALSE,FALSE,FALSE
"Comglomerate","COMG",FALSE,FALSE,FALSE,FALSE
"COMHIT.COM","COMH",FALSE,FALSE,FALSE,TRUE
"ComIT","COMI",FALSE,FALSE,TRUE,TRUE
"Comjunction","COMJ",FALSE,FALSE,FALSE,FALSE
"Comkeep","COMK",FALSE,FALSE,FALSE,FALSE
